"תאריך","הגרלה","_1_","_2_","_3_","_4_","_5_","_6_","_7_","_8_","_9_","_10_","_11_","_12_","_13_","_14_","_15_","_16_","_17_","מספר_הזוכים_בפרס_הראשון"
"07/04/14","6728","02","11","13","17","20","25","31","33","35","37","39","42","48","55","62","63","68","0"
"06/04/14","6727","01","02","03","11","15","17","20","30","35","39","40","43","44","48","49","54","62","0"
"06/04/14","6726","01","10","11","14","16","20","22","28","29","49","51","52","53","54","60","63","65","2"
"05/04/14","6725","01","10","13","15","21","23","25","30","32","35","39","43","53","55","60","62","70","1"
"04/04/14","6724","02","03","06","10","13","26","32","34","35","36","39","41","48","54","66","67","69","1"
"03/04/14","6723","01","02","06","11","17","18","20","21","27","29","33","35","49","50","52","57","62","0"
"03/04/14","6722","07","19","25","27","28","35","36","43","44","48","50","52","55","57","59","64","66","0"
"02/04/14","6721","01","10","12","26","30","32","38","40","43","44","47","52","55","61","64","66","67","0"
"02/04/14","6720","01","07","08","17","20","21","24","25","29","35","37","44","45","47","48","52","61","0"
"01/04/14","6719","07","10","14","20","21","23","24","30","36","47","51","52","54","62","65","68","70","0"
"01/04/14","6718","07","10","11","15","26","28","30","33","46","48","49","50","55","56","64","69","70","1"
"31/03/14","6717","04","15","16","20","23","24","28","36","37","39","40","45","48","52","54","58","62","0"
"31/03/14","6716","03","14","19","23","31","34","35","40","42","45","46","47","50","54","57","58","60","0"
"30/03/14","6715","02","05","15","17","18","24","28","30","37","38","45","46","47","48","58","67","70","0"
"30/03/14","6714","05","06","11","12","19","21","24","26","36","38","45","52","54","57","59","60","68","0"
"29/03/14","6713","02","05","09","11","12","15","19","21","25","29","34","38","49","50","59","62","63","0"
"28/03/14","6712","01","02","05","18","19","29","32","35","36","38","43","47","57","58","63","64","65","1"
"27/03/14","6711","12","13","24","25","27","29","31","32","35","39","42","44","45","49","52","54","70","0"
"27/03/14","6710","04","08","09","10","23","26","27","34","39","40","44","47","48","52","54","63","66","0"
"26/03/14","6709","01","02","03","10","12","21","25","27","33","41","43","44","47","60","61","67","70","1"
"26/03/14","6708","05","06","10","12","18","22","25","30","31","34","37","48","54","56","58","66","68","1"
"25/03/14","6707","01","08","11","12","14","27","38","39","40","43","44","51","52","58","61","66","69","0"
"25/03/14","6706","02","12","18","24","31","35","36","37","39","45","47","48","49","51","66","67","69","0"
"24/03/14","6705","01","05","07","08","20","21","30","32","33","38","48","50","54","56","65","66","68","0"
"24/03/14","6704","11","13","20","22","33","37","42","47","48","49","50","54","61","62","63","68","69","0"
"23/03/14","6703","02","03","04","05","10","11","14","15","20","36","49","50","54","57","58","66","70","0"
"23/03/14","6702","03","10","15","19","20","24","27","30","36","44","51","52","55","60","63","68","69","0"
"22/03/14","6701","09","13","21","22","25","26","30","31","33","41","46","50","51","52","56","63","64","0"
"21/03/14","6700","04","08","11","17","18","19","27","37","38","42","45","47","50","52","58","66","68","1"
"20/03/14","6699","01","05","06","10","14","17","19","20","29","32","42","50","51","59","63","64","67","0"
"20/03/14","6698","04","11","16","20","21","26","28","30","31","33","39","40","48","50","57","64","67","0"
"19/03/14","6697","07","20","22","24","29","30","33","34","46","47","48","50","51","52","55","62","70","0"
"19/03/14","6696","04","05","07","08","10","15","27","30","34","49","53","54","57","58","59","68","69","0"
"18/03/14","6695","01","04","17","20","21","22","24","29","32","36","37","40","43","52","53","63","66","0"
"18/03/14","6694","01","05","14","22","23","25","29","31","34","36","40","41","47","49","52","60","67","0"
"17/03/14","6693","04","18","19","20","22","25","38","43","46","47","48","50","61","62","64","68","69","0"
"17/03/14","6692","05","07","08","09","18","20","24","29","32","37","38","39","42","44","47","56","68","1"
"16/03/14","6691","03","04","06","08","16","26","30","31","34","35","38","39","61","62","64","68","69","2"
"16/03/14","6690","05","06","07","09","15","17","18","22","29","36","43","46","50","52","57","58","70","1"
"15/03/14","6689","07","14","20","21","23","27","29","31","36","41","44","48","52","56","60","62","65","0"
"14/03/14","6688","03","04","07","16","19","25","27","31","34","35","36","38","51","56","58","65","70","0"
"13/03/14","6687","02","05","06","10","12","17","31","38","40","42","46","47","49","54","58","64","67","1"
"13/03/14","6686","07","11","22","27","28","36","38","39","42","43","45","48","50","55","61","64","66","0"
"12/03/14","6685","09","10","12","15","17","18","21","28","29","38","47","48","51","55","56","68","69","0"
"12/03/14","6684","01","03","05","06","18","21","22","26","28","35","38","53","54","59","61","64","68","1"
"11/03/14","6683","16","17","18","23","25","28","33","34","36","38","43","47","53","58","65","66","67","0"
"11/03/14","6682","04","07","08","11","13","14","16","19","31","34","39","46","51","57","61","65","69","2"
"10/03/14","6681","07","08","11","13","15","17","20","29","32","39","44","47","48","50","54","60","61","0"
"10/03/14","6680","02","06","08","14","16","17","18","21","22","31","33","35","40","48","56","60","61","0"
"09/03/14","6679","15","16","19","22","27","29","30","32","41","42","46","55","56","57","59","66","69","0"
"09/03/14","6678","02","04","09","11","12","13","16","17","25","35","37","38","44","47","51","60","62","0"
"08/03/14","6677","06","08","14","16","18","19","20","25","28","42","45","47","48","49","51","60","68","0"
"07/03/14","6676","08","11","12","13","15","22","28","31","35","36","39","41","43","47","54","63","66","1"
"06/03/14","6675","10","12","13","15","17","22","24","25","31","34","35","40","46","47","51","56","58","0"
"06/03/14","6674","04","08","16","19","23","25","28","30","36","38","39","40","51","61","64","65","69","0"
"05/03/14","6673","05","09","11","12","14","25","26","27","36","38","41","43","47","49","60","64","69","0"
"05/03/14","6672","02","08","10","12","14","16","26","27","34","35","37","40","41","48","54","58","61","1"
"04/03/14","6671","11","12","14","15","18","21","26","29","30","33","41","43","45","57","58","61","66","0"
"04/03/14","6670","04","10","17","20","27","32","34","38","39","42","43","46","50","51","54","64","67","0"
"03/03/14","6669","08","12","13","17","22","23","31","34","38","41","49","51","57","58","61","63","65","1"
"03/03/14","6668","06","07","09","10","11","12","16","18","20","27","37","40","50","59","61","68","69","0"
"02/03/14","6667","01","07","09","11","13","14","15","17","24","25","26","27","32","35","39","46","58","0"
"02/03/14","6666","06","11","14","18","19","20","21","24","26","29","30","49","50","51","54","58","61","1"
"01/03/14","6665","01","02","12","17","18","21","27","33","34","35","38","46","47","49","50","52","61","1"
"28/02/14","6664","07","08","11","15","17","20","22","25","33","37","41","46","51","57","60","69","70","0"
"27/02/14","6663","03","06","07","17","25","28","29","31","48","49","55","56","60","62","67","69","70","0"
"27/02/14","6662","10","15","18","19","23","28","32","44","45","51","54","56","57","59","67","69","70","1"
"26/02/14","6661","09","10","12","14","18","20","22","25","32","33","44","56","59","62","63","69","70","0"
"26/02/14","6660","04","05","24","25","26","27","28","30","34","36","50","51","58","60","61","67","69","1"
"25/02/14","6659","03","05","06","07","19","25","26","33","34","42","43","48","50","53","57","65","66","0"
"25/02/14","6658","04","05","06","08","19","21","26","29","34","38","46","50","61","62","65","66","67","0"
"24/02/14","6657","06","11","13","16","18","20","23","26","35","36","38","44","45","55","58","59","70","2"
"24/02/14","6656","03","14","29","30","33","35","36","40","41","47","52","53","57","58","66","68","70","0"
"23/02/14","6655","02","03","06","15","17","18","21","22","24","31","40","42","45","54","60","62","68","0"
